City,Year,Month,News Item ID,Date ID,Provider ID,Headline,Byline,Date Line,Credit Line,Copyright Line,Slug Line,Keywords,Edition,Location (AdminMeta),Country,City (Metadata),Page Number,Status,Urgency,Language,Subject,Processed,Published,Usage Type,Rights Holder,Image Width,Image Height,Image Size (bytes from XML),Actual File Size (bytes),Image Href,XML Path,Image Path,Image Exists,Creation Date,Revision Date,Comment Data
Kolhapur,2012,06,KOP12A61871,20120602,KOP12A61871,विज कामगार,नितीन,20120602,नितीन,-----,विज कामगार,"विज कामगार, विज कामगार",Central_Desk,Pne,,,1F,Usable,1,en,I,false,true,public,sakal,1786,2485,4438210,0,2012-06-02_KOP12A61871_MED_1F_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-02_KOP12A61871_MED_1F_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-02_KOP12A61871_MED_1F_Org.JPG,No,20120601,20120601,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/1/2012 10:29:55 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/1/2012 10:33:17 PM </td><td>Media Edited</td> <td> graviraj </td></tr><tr><td>6/1/2012 10:33:35 PM </td><td>Correct and Move Media to Pages: CDPan1</td> <td> graviraj </td></tr><tr><td>6/1/2012 10:42:45 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:44:09 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:44:09 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:44:17 PM </td><td>Media  marked as Ready and sent to Pages: CDPan1, </td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:54:49 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-1F(Pub Date: 02 Jun 2012)</td> <td> sakal </td></tr>"
Kolhapur,2012,06,KOP12A60750,20120603,KOP12A60750,जावे पुस्तकांच्या गावा,,20120603,,,जावे पुस्तकांच्या गावा,"ऍग्रोवनसाठी, ऍग्रोवनसाठी",Agro,Pne,,,13,Usable,1,en,I,false,true,public,sakal,960,1295,1243200,2522269,2012-06-03_KOP12A60750_MED_13_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-03_KOP12A60750_MED_13_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-03_KOP12A60750_MED_13_Org.jpg,Yes,20120528,20120528,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>5/28/2012 11:24:17 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>5/29/2012 10:39:51 AM </td><td>Media Edited</td> <td> kjayprakash </td></tr><tr><td>5/29/2012 10:40:16 AM </td><td>Correct and Move Media to Pages: Agro13</td> <td> kjayprakash </td></tr><tr><td>5/29/2012 10:45:35 AM </td><td>Media detached</td> <td> ybhaskar </td></tr><tr><td>5/29/2012 10:51:55 AM </td><td>Media processed</td> <td> ybhaskar </td></tr><tr><td>5/29/2012 10:51:55 AM </td><td>Media Edited</td> <td> ybhaskar </td></tr><tr><td>5/29/2012 10:51:57 AM </td><td>Media  marked as Ready and sent to Pages: Agro13, </td> <td> ybhaskar </td></tr><tr><td>6/2/2012 12:34:36 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-13(Pub Date: 03 Jun 2012)</td> <td> swanand.bhalerao </td></tr>"
Kolhapur,2012,06,KOP12A62355,20120604,KOP12A62355,पुतळा अनावरण,बी.डी.चेचर,20120604,बी.डी.चेचर,सर्व,पुतळा अनावरण,"पुतळा, पुतळा",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,3189,4579,14602431,9220370,2012-06-04_KOP12A62355_MED_2_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-04_KOP12A62355_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-04_KOP12A62355_MED_2_Org.JPG,Yes,20120603,20120603,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/3/2012 8:07:02 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/3/2012 8:08:20 PM </td><td>Media moved to user nyogesh</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:08:42 PM </td><td>Media Edited</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:09:14 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:10:38 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:24 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:26 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:40 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:32:14 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 04 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,"
        ",20120605,KOP12A62686,मोर PEACOCK,सुरेश खराटे,20120605,सकाळ,सकाळ,मोराची झेप,"पक्षी, पक्षी",Central_Desk,Pne,,,1,Usable,1,en,E11,false,true,public,sakal,2814,1728,3235,3313096,2012-06-05_KOP12A62686_MED_1_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-05_KOP12A62686_MED_1_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-05_KOP12A62686_MED_1_Org.jpg,Yes,20120604,20120604,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/4/2012 8:21:06 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/4/2012 8:22:35 PM </td><td>Media Edited</td> <td> psurendra </td></tr><tr><td>6/4/2012 8:23:33 PM </td><td>Correct and Move Media to Pages: CDPan1</td> <td> psurendra </td></tr><tr><td>6/4/2012 8:24:37 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:26:11 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:26:12 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:26:21 PM </td><td>Media  marked as Ready and sent to Pages: CDPan1, </td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:32:06 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-1(Pub Date: 05 Jun 2012)</td> <td> satyaraj.yadav </td></tr><tr><td>05/06/2012 01:13:48 PM</td><td>Image Edited</td><td>ksuresh</td></tr>"
Kolhapur,2012,06,KOP12A62727,20120613,KOP12A62727,कोपार्डे ः अनिल यांनी स्वतःच्या शेतीत उसामध्ये मक्‍याचे आंतरपिक घेतले आहे.,,20120613,,,कोपार्डे ः अनिल यांनी स्वतःच्या शेतीत उसामध्ये मक्‍याचे आंतरपिक घेतले आहे.,"ऍग्रोवनसाठी, ऍग्रोवनसाठी",Agro,Pne,,,11,Usable,1,en,I,false,true,public,sakal,3264,2292,7481088,2733890,2012-06-13_KOP12A62727_MED_11_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-13_KOP12A62727_MED_11_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-13_KOP12A62727_MED_11_Org.jpg,Yes,20120604,20120604,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>6/4/2012 11:23:59 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/12/2012 12:05:51 PM </td><td>Media moved to user mmandar</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:38:14 PM </td><td>Media Edited</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:38:37 PM </td><td>Correct and Move Media to Pages: Agro11</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:40:25 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:42:03 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:42:05 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:42:21 PM </td><td>Media  marked as Ready and sent to Pages: Agro11, </td> <td> nsanjay </td></tr><tr><td>6/12/2012 2:25:48 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-11(Pub Date: 13 Jun 2012)</td> <td> pravin.takawale </td></tr>"
Kolhapur,2012,06,KOP12A66230,20120617,KOP12A66230,जावे पुस्तकांच्या गावा,,20120617,,,जावे पुस्तकांच्या गावा,"जावे पुस्तकांच्या गावा, जावे पुस्तकांच्या गावा",Agro,Pne,,,13,Usable,1,en,I,false,true,public,sakal,945,1512,1428840,4384904,2012-06-17_KOP12A66230_MED_13_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-17_KOP12A66230_MED_13_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-17_KOP12A66230_MED_13_Org.jpg,Yes,20120615,20120615,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>6/15/2012 11:04:36 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/16/2012 10:14:11 AM </td><td>Media Edited</td> <td> kjayprakash </td></tr><tr><td>6/16/2012 11:06:38 AM </td><td>Correct and Move Media to Pages: Agro13</td> <td> kjayprakash </td></tr><tr><td>6/16/2012 11:13:37 AM </td><td>Media detached</td> <td> ybhaskar </td></tr><tr><td>6/16/2012 11:18:44 AM </td><td>Media processed</td> <td> ybhaskar </td></tr><tr><td>6/16/2012 11:18:44 AM </td><td>Media Edited</td> <td> ybhaskar </td></tr><tr><td>6/16/2012 11:18:47 AM </td><td>Media  marked as Ready and sent to Pages: Agro13, </td> <td> ybhaskar </td></tr><tr><td>6/16/2012 11:19:18 AM </td><td>Media pasted on Pune-Agrowon-Agro-A-13(Pub Date: 17 Jun 2012)</td> <td> Pravin.Takawale </td></tr>"
Kolhapur,2012,06,KOP12A68835-1,20120626,KOP12A68835-1,स्मिता पाटील,महिलांना 50 टक्‍के पदे द्या बातमीसाठी,20120626,,,स्मिता पाटील,"सांगली, सांगली",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,960,1462,1403520,2678847,2012-06-26_KOP12A68835-1_MED_2_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-26_KOP12A68835-1_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-26_KOP12A68835-1_MED_2_Org.JPG,Yes,20120625,20120625,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/25/2012 5:06:55 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/25/2012 8:03:13 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/25/2012 8:03:18 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:04:00 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:04:01 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:04:04 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:18:06 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 26 Jun 2012)</td> <td> artistcdesk </td></tr><tr><td>22/10/2018 05:56:43 PM</td><td>Image Downloaded</td><td>rkanchan</td></tr><tr><td>22/10/2018 05:57:15 PM</td><td>Image Downloaded</td><td>rkanchan</td></tr><tr><td>22/10/2018 05:59:03 PM</td><td>Image Downloaded</td><td>rkanchan</td></tr>"
Kolhapur,2012,06,KOP12A68915,20120626,KOP12A68915,शाहू जन्मस्थळ दुरूस्ती,संजय देसाई,20120626,संजय देसाई,,शाहू जन्मस्थळ दुरूस्ती,"शाहू जन्मस्थळ दुरूस्ती, शाहू जन्मस्थळ दुरूस्ती",Pune_City,Pne,,,4,Usable,1,en,I,false,true,public,sakal,1913,1435,2745155,4169573,2012-06-26_KOP12A68915_MED_4_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-26_KOP12A68915_MED_4_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-26_KOP12A68915_MED_4_Org.JPG,Yes,20120625,20120625,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/25/2012 7:01:16 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/25/2012 7:37:17 PM </td><td>Media moved to user aniranjan</td> <td> aniranjan </td></tr><tr><td>6/25/2012 7:37:31 PM </td><td>Correct and Move Media to Pages: Sampadakiya</td> <td> aniranjan </td></tr><tr><td>6/25/2012 7:59:23 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:01:04 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:01:05 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:01:11 PM </td><td>Media  marked as Ready and sent to Pages: Sampadakiya, </td> <td> wprasanna </td></tr><tr><td>6/25/2012 8:27:36 PM </td><td>Media pasted on Pune-Sakal-Pune_City-A-4(Pub Date: 26 Jun 2012)</td> <td> ashok.mahalle </td></tr>"
Kolhapur,2012,06,KOP12A69328,20120627,KOP12A69328,आटपाडी पाणी परिषद,स,20120627,स,स,आटपाडी पाणी परिषद,"स, स",Satara,Pne,,,1,Usable,1,en,I,false,true,public,sakal,3648,1990,7259520,4384456,2012-06-27_KOP12A69328_MED_1_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-27_KOP12A69328_MED_1_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-27_KOP12A69328_MED_1_Org.JPG,Yes,20120626,20120626,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/26/2012 9:59:32 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/26/2012 10:00:20 PM </td><td>Correct and Move Media to Pages: Pan1</td> <td> srajesh </td></tr><tr><td>6/26/2012 10:00:30 PM </td><td>Media  marked as Ready and sent to Pages: Pan1, </td> <td> srajesh </td></tr><tr><td>6/26/2012 10:01:47 PM </td><td>Media pasted on Pune-Sakal-Satara-A-1(Pub Date: 27 Jun 2012)</td> <td> sambhaji.kale </td></tr>"
Kolhapur,2012,06,KOP12A69357,20120627,KOP12A69357,गोविंद पाणसरे सत्कार,नितीन,20120627,नितीन,,गोविंद पाणसरे सत्कार,"गोविंद पाणसरे सत्कार, गोविंद पाणसरे सत्कार",Central_Desk,Pne,,,2F,Usable,1,en,I,false,true,public,sakal,3177,1792,5693184,3232657,2012-06-27_KOP12A69357_MED_2F_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/processed/2012-06-27_KOP12A69357_MED_2F_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/06/media/2012-06-27_KOP12A69357_MED_2F_Org.JPG,Yes,20120626,20120626,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/26/2012 10:04:25 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/26/2012 10:11:16 PM </td><td>Correct and Move Media to Pages: Pan1</td> <td> srajesh </td></tr><tr><td>6/26/2012 10:11:25 PM </td><td>Media  marked as Ready and sent to Pages: Pan1, </td> <td> srajesh </td></tr><tr><td>6/26/2012 10:20:47 PM </td><td>Media pasted on Pune-Sakal-Satara-A-1(Pub Date: 27 Jun 2012)</td> <td> sambhaji.kale </td></tr><tr><td>6/26/2012 10:44:47 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2F(Pub Date: 27 Jun 2012)</td> <td> artistcdesk </td></tr>"
