City,Year,Month,News Item ID,Date ID,Provider ID,Headline,Byline,Date Line,Credit Line,Copyright Line,Slug Line,Keywords,Edition,Location (AdminMeta),Country,City (Metadata),Page Number,Status,Urgency,Language,Subject,Processed,Published,Usage Type,Rights Holder,Image Width,Image Height,Image Size (bytes from XML),Actual File Size (bytes),Image Href,XML Path,Image Path,Image Exists,Creation Date,Revision Date,Comment Data
Kolhapur,2012,06,KOP12A62355,20120604,KOP12A62355,पुतळा अनावरण,बी.डी.चेचर,20120604,बी.डी.चेचर,सर्व,पुतळा अनावरण,"पुतळा, पुतळा",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,3189,4579,14602431,9220370,2012-06-04_KOP12A62355_MED_2_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-04_KOP12A62355_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-04_KOP12A62355_MED_2_Org.JPG,Yes,20120603,20120603,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/3/2012 8:07:02 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/3/2012 8:08:20 PM </td><td>Media moved to user nyogesh</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:08:42 PM </td><td>Media Edited</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:09:14 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:10:38 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:24 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:26 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:40 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:32:14 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 04 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,KOP12A62423,20120613,KOP12A62423,कोपार्डे ः उकडलेले दाणे चोविस तासांसाठी ब्लास्ट रुममध्ये ठेवण्यात येतात.,,20120613,,,कोपार्डे ः उकडलेले दाणे चोविस तासांसाठी ब्लास्ट रुममध्ये ठेवण्यात येतात.,"ऍग्रोवनसाठी, ऍग्रोवनसाठी",Agro,Pne,,,11,Usable,1,en,I,false,true,public,sakal,3264,2448,7990272,1893110,2012-06-13_KOP12A62423_MED_11_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-13_KOP12A62423_MED_11_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-13_KOP12A62423_MED_11_Org.jpg,Yes,20120603,20120603,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>6/3/2012 10:59:12 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/12/2012 12:06:33 PM </td><td>Media moved to user mmandar</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:40:21 PM </td><td>Media Edited</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:40:37 PM </td><td>Correct and Move Media to Pages: Agro9</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:44:28 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:46:13 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:46:15 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:46:27 PM </td><td>Media  marked as Ready and sent to Pages: Agro9, </td> <td> nsanjay </td></tr><tr><td>6/12/2012 2:26:48 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-11(Pub Date: 13 Jun 2012)</td> <td> pravin.takawale </td></tr>"
Kolhapur,2012,06,KOP12A62429,20120613,KOP12A62429,कोपार्डे ः स्विटकॉर्नचे पॅकिंग,,20120613,,,कोपार्डे ः स्विटकॉर्नचे पॅकिंग,"ऍग्रोवनसाठी, ऍग्रोवनसाठी",Agro,Pne,,,11,Usable,1,en,I,false,true,public,sakal,3264,2448,7990272,1942310,2012-06-13_KOP12A62429_MED_11_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-13_KOP12A62429_MED_11_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-13_KOP12A62429_MED_11_Org.jpg,Yes,20120603,20120603,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>6/3/2012 10:59:58 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/12/2012 12:06:17 PM </td><td>Media moved to user mmandar</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:38:55 PM </td><td>Media Edited</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:39:16 PM </td><td>Correct and Move Media to Pages: Agro11</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:42:33 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:44:03 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:44:05 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:44:16 PM </td><td>Media  marked as Ready and sent to Pages: Agro11, </td> <td> nsanjay </td></tr><tr><td>6/12/2012 2:26:18 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-11(Pub Date: 13 Jun 2012)</td> <td> pravin.takawale </td></tr>"
Kolhapur,2012,06,KOP12A62727,20120613,KOP12A62727,कोपार्डे ः अनिल यांनी स्वतःच्या शेतीत उसामध्ये मक्‍याचे आंतरपिक घेतले आहे.,,20120613,,,कोपार्डे ः अनिल यांनी स्वतःच्या शेतीत उसामध्ये मक्‍याचे आंतरपिक घेतले आहे.,"ऍग्रोवनसाठी, ऍग्रोवनसाठी",Agro,Pne,,,11,Usable,1,en,I,false,true,public,sakal,3264,2292,7481088,2733890,2012-06-13_KOP12A62727_MED_11_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-13_KOP12A62727_MED_11_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-13_KOP12A62727_MED_11_Org.jpg,Yes,20120604,20120604,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>6/4/2012 11:23:59 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/12/2012 12:05:51 PM </td><td>Media moved to user mmandar</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:38:14 PM </td><td>Media Edited</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:38:37 PM </td><td>Correct and Move Media to Pages: Agro11</td> <td> mmandar </td></tr><tr><td>6/12/2012 1:40:25 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:42:03 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:42:05 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/12/2012 1:42:21 PM </td><td>Media  marked as Ready and sent to Pages: Agro11, </td> <td> nsanjay </td></tr><tr><td>6/12/2012 2:25:48 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-11(Pub Date: 13 Jun 2012)</td> <td> pravin.takawale </td></tr>"
Kolhapur,2012,06,KOP12A69058,20120627,KOP12A69058,शाहू जयंती गर्दी,संजय देसाई,20120627,संजय देसाई,,शाहू जयंती गर्दी,"शाहू जयंती अभिवादन, शाहू जयंती अभिवादन",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,3605,2604,9387420,7280715,2012-06-27_KOP12A69058_MED_2_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-27_KOP12A69058_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-27_KOP12A69058_MED_2_Org.JPG,Yes,20120626,20120626,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/26/2012 4:08:55 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/26/2012 5:56:18 PM </td><td>Media Edited</td> <td> pprakash </td></tr><tr><td>6/26/2012 5:56:37 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/26/2012 5:59:04 PM </td><td>Media detached</td> <td> kanil </td></tr><tr><td>6/26/2012 6:01:22 PM </td><td>Media processed</td> <td> kanil </td></tr><tr><td>6/26/2012 6:01:23 PM </td><td>Media Edited</td> <td> kanil </td></tr><tr><td>6/26/2012 6:01:34 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> kanil </td></tr><tr><td>6/26/2012 8:09:17 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 27 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,KOP12A69328,20120627,KOP12A69328,आटपाडी पाणी परिषद,स,20120627,स,स,आटपाडी पाणी परिषद,"स, स",Satara,Pne,,,1,Usable,1,en,I,false,true,public,sakal,3648,1990,7259520,4384456,2012-06-27_KOP12A69328_MED_1_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-27_KOP12A69328_MED_1_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-27_KOP12A69328_MED_1_Org.JPG,Yes,20120626,20120626,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/26/2012 9:59:32 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/26/2012 10:00:20 PM </td><td>Correct and Move Media to Pages: Pan1</td> <td> srajesh </td></tr><tr><td>6/26/2012 10:00:30 PM </td><td>Media  marked as Ready and sent to Pages: Pan1, </td> <td> srajesh </td></tr><tr><td>6/26/2012 10:01:47 PM </td><td>Media pasted on Pune-Sakal-Satara-A-1(Pub Date: 27 Jun 2012)</td> <td> sambhaji.kale </td></tr>"
Kolhapur,2012,06,KOP12A69628,20120628,KOP12A69628,कास पठार बैठक,संजय देसाई,20120628,संजय देसाई,,कास पठार बैठक,"कास पठार बैठक, कास पठार बैठक",Satara,Pne,,,1,Usable,1,en,I,false,true,public,sakal,3905,3000,11715000,11645088,2012-06-28_KOP12A69628_MED_1_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-28_KOP12A69628_MED_1_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-28_KOP12A69628_MED_1_Org.JPG,Yes,20120627,20120627,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/27/2012 8:27:31 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/27/2012 9:33:42 PM </td><td>Correct and Move Media to Pages: Pan1</td> <td> srajesh </td></tr><tr><td>6/27/2012 9:33:52 PM </td><td>Media  marked as Ready and sent to Pages: Pan1, </td> <td> srajesh </td></tr><tr><td>6/27/2012 9:38:05 PM </td><td>Media pasted on Pune-Sakal-Satara-A-1(Pub Date: 28 Jun 2012)</td> <td> mandar.jogalekar </td></tr>"
Kolhapur,2012,09,KOP12A88735,20120903,KOP12A88735,प्रताप चिपळूणकर,,20120903,,,प्रताप चिपळूणकर,"प्रताप चिपळूणकर, प्रताप चिपळूणकर",Agro,Pne,,,8,Usable,1,en,I,false,true,public,sakal,3600,3072,11059200,2980968,2012-09-03_KOP12A88735_MED_8_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/09/processed/2012-09-03_KOP12A88735_MED_8_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/09/media/2012-09-03_KOP12A88735_MED_8_Org.JPG,Yes,20120829,20120829,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>7/26/2024 6:16:09 PM </td><td>Photo received from SmartArchive</td> <td> SmartArchive </td></tr><tr><td>7/26/2024 6:19:35 PM </td><td>Correct and Move Media toPages: Agro10</td> <td> gdamit </td></tr><tr><td>7/26/2024 6:19:36 PM </td><td>Media auto-detached</td> <td> Scheduler </td></tr><tr><td>7/26/2024 6:20:32 PM </td><td>Media corrected</td> <td> Scheduler </td></tr><tr><td>7/26/2024 6:20:32 PM </td><td>Media  marked as Ready and sent toPages: Agro10,</td> <td> Scheduler </td></tr><tr><td>7/26/2024 6:20:35 PM </td><td>Media corrected</td> <td> Scheduler </td></tr><tr><td>7/26/2024 6:20:35 PM </td><td>Media  marked as Ready and sent toPages: </td> <td> Scheduler </td></tr><tr><td>7/29/2024 11:45:02 AM </td><td>Media pasted on Pune-Agrowon-Agro_Special-A-7(Agro10)(Pub Date: 31 Jul 2024)</td> <td> amar.kamble </td></tr><tr><td>7/29/2024 11:45:02 AM </td><td>Media is queued for transmission to web for publication agr</td> <td> amar.kamble </td></tr><tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>12/25/2018 8:18:48 PM </td><td>Photo received from SmartArchive</td> <td> SmartArchive </td></tr><tr><td>12/25/2018 8:23:10 PM </td><td>Media Edited</td> <td> gdamit </td></tr><tr><td>12/25/2018 8:23:56 PM </td><td>Correct and Move Media toPages: Agro10</td> <td> gdamit </td></tr><tr><td>12/25/2018 8:24:01 PM </td><td>Media auto-detached</td> <td> Scheduler </td></tr><tr><td>12/25/2018 8:25:08 PM </td><td>Media corrected</td> <td> Scheduler </td></tr><tr><td>12/25/2018 8:25:08 PM </td><td>Media  marked as Ready and sent toPages: Agro10,</td> <td> Scheduler </td></tr><tr><td>12/26/2018 2:16:10 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-11(Agro10)(Pub Date: 27 Dec 2018)</td> <td> rahul.kamthe </td></tr><tr><td>12/26/2018 2:16:10 PM </td><td>Media is queued for transmission to web for publication agr</td> <td> rahul.kamthe </td></tr><tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>5/28/2018 7:20:14 PM </td><td>Photo received from SmartArchive</td> <td> SmartArchive </td></tr><tr><td>5/28/2018 7:23:11 PM </td><td>Correct and Move Media toPages: Agro6</td> <td> janil </td></tr><tr><td>5/28/2018 7:23:15 PM </td><td>Media auto-detached</td> <td> Scheduler </td></tr><tr><td>5/28/2018 7:24:16 PM </td><td>Media corrected</td> <td> Scheduler </td></tr><tr><td>5/28/2018 7:24:16 PM </td><td>Media  marked as Ready and sent toPages: Agro6,</td> <td> Scheduler </td></tr><tr><td>5/28/2018 7:24:22 PM </td><td>Media corrected</td> <td> Scheduler </td></tr><tr><td>5/28/2018 7:24:22 PM </td><td>Media  marked as Ready and sent toPages: </td> <td> Scheduler </td></tr><tr><td>5/28/2018 7:31:33 PM </td><td>Media pasted on Pune-Agrowon-AgroKhan-A-6(Agro6)(Pub Date: 29 May 2018)</td> <td> pravin.takawale </td></tr><tr><td>5/28/2018 7:31:34 PM </td><td>Media is queued for transmission to web for publication agr</td> <td> pravin.takawale </td></tr><tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>4/10/2018 5:09:00 PM </td><td>Photo received from SmartArchive</td> <td> SmartArchive </td></tr><tr><td>4/16/2018 10:56:04 AM </td><td>Correct and Move Media toPages: Agro10</td> <td> gdamit </td></tr><tr><td>4/16/2018 10:56:06 AM </td><td>Media auto-detached</td> <td> Scheduler </td></tr><tr><td>4/16/2018 10:57:18 AM </td><td>Media corrected</td> <td> Scheduler </td></tr><tr><td>4/16/2018 10:57:18 AM </td><td>Media  marked as Ready and sent toPages: Agro10,</td> <td> Scheduler </td></tr><tr><td>4/16/2018 10:57:23 AM </td><td>Media corrected</td> <td> Scheduler </td></tr><tr><td>4/16/2018 10:57:23 AM </td><td>Media  marked as Ready and sent toPages: </td> <td> Scheduler </td></tr><tr><td>4/16/2018 6:11:29 PM </td><td>Media pasted on Pune-Agrowon-Agro_Special-A-14(Agro10)(Pub Date: 20 Apr 2018)</td> <td> ashok.gole </td></tr><tr><td>4/16/2018 6:11:29 PM </td><td>Media is queued for transmission to web for publication agr</td> <td> ashok.gole </td></tr><tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>11/13/2015 11:38:19 AM </td><td>Photo received from SmartArchive</td> <td> SmartArchive </td></tr><tr><td>11/13/2015 11:38:54 AM </td><td>Correct and Move Media toPages: Agro7</td> <td> cvikas </td></tr><tr><td>11/13/2015 11:46:37 AM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>11/13/2015 11:48:01 AM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>11/13/2015 11:48:07 AM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>11/13/2015 11:48:10 AM </td><td>Media  marked as Ready and sent toPages: Agro7,</td> <td> nsanjay </td></tr><tr><td>11/13/2015 12:45:58 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-7(Agro7)(Pub Date: 14 Nov 2015)</td> <td> amar.kamble </td></tr><tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>8/29/2012 5:58:23 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>9/1/2012 12:32:44 PM </td><td>Media moved to user mmandar</td> <td> mmandar </td></tr><tr><td>9/1/2012 5:44:15 PM </td><td>Media moved to user ksatish</td> <td> mmandar </td></tr><tr><td>9/2/2012 10:31:16 AM </td><td>Correct and Move Media to Pages: Agro8</td> <td> ksatish </td></tr><tr><td>9/2/2012 11:12:29 AM </td><td>Media detached</td> <td> kanil </td></tr><tr><td>9/2/2012 11:30:08 AM </td><td>Media processed</td> <td> kanil </td></tr><tr><td>9/2/2012 11:30:09 AM </td><td>Media Edited</td> <td> kanil </td></tr><tr><td>9/2/2012 11:30:12 AM </td><td>Media  marked as Ready and sent to Pages: Agro8, </td> <td> kanil </td></tr><tr><td>9/2/2012 1:44:41 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-8(Agro8)(Pub Date: 03 Sep 2012)</td> <td> rahul.kamthe </td></tr>"
Kolhapur,2012,09,KOP12A95685,20120929,KOP12A95685,वर्षा दिवेकर/11:26:34 PM,,20120929,,,वर्षा दिवेकर/11:26:34 PM,"-, -",Saptahik_Sakal,Pne,,,1,Usable,1,en,I,false,true,public,sakal,2088,2768,5779584,1398328,2012-09-29_KOP12A95685_MED_1_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/09/processed/2012-09-29_KOP12A95685_MED_1_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/09/media/2012-09-29_KOP12A95685_MED_1_Org.jpg,Yes,20120919,20120919,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>9/19/2012 1:34:02 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>9/19/2012 2:29:28 PM </td><td>Correct and Move Media to Pages: Saptahik_Sakal</td> <td> bruta </td></tr><tr><td>9/19/2012 2:31:06 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>9/19/2012 2:32:54 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>9/19/2012 2:32:54 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>9/19/2012 2:33:22 PM </td><td>Media  marked as Ready and sent to Pages: Saptahik_Sakal, </td> <td> nsanjay </td></tr><tr><td>9/19/2012 3:41:42 PM </td><td>Media pasted on Pune-Saptahik_Sakal-Saptahik_Sakal-A-1(Saptahik_Sakal)(Pub Date: 29 Sep 2012)</td> <td> sakal </td></tr>"
Kolhapur,2012,09,KOP12A99358,20120929,KOP12A99358,अरुण रावसाहेब देसाई,,20120929,,,अरुण रावसाहेब देसाई,"तेरणी, तेरणी",Agro,Pne,,,8,Usable,1,en,I,false,true,public,sakal,3264,2448,7990272,1846021,2012-09-29_KOP12A99358_MED_8_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/09/processed/2012-09-29_KOP12A99358_MED_8_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/09/media/2012-09-29_KOP12A99358_MED_8_Org.jpg,Yes,20120927,20120927,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>9/27/2012 4:03:59 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>9/28/2012 11:59:39 AM </td><td>Media Edited</td> <td> mmandar </td></tr><tr><td>9/28/2012 11:59:58 AM </td><td>Correct and Move Media to Pages: Agro8</td> <td> mmandar </td></tr><tr><td>9/28/2012 12:11:38 PM </td><td>Media detached</td> <td> kanil </td></tr><tr><td>9/28/2012 12:13:10 PM </td><td>Media processed</td> <td> kanil </td></tr><tr><td>9/28/2012 12:13:10 PM </td><td>Media Edited</td> <td> kanil </td></tr><tr><td>9/28/2012 12:13:12 PM </td><td>Media  marked as Ready and sent to Pages: Agro8, </td> <td> kanil </td></tr><tr><td>9/28/2012 12:14:42 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-8(Agro8)(Pub Date: 29 Sep 2012)</td> <td> rahul.kamthe </td></tr><tr><td>9/28/2012 12:28:12 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-8(Agro8)(Pub Date: 29 Sep 2012)</td> <td> rahul.kamthe </td></tr>"
