City,Year,Month,News Item ID,Date ID,Provider ID,Headline,Byline,Date Line,Credit Line,Copyright Line,Slug Line,Keywords,Edition,Location (AdminMeta),Country,City (Metadata),Page Number,Status,Urgency,Language,Subject,Processed,Published,Usage Type,Rights Holder,Image Width,Image Height,Image Size (bytes from XML),Actual File Size (bytes),Image Href,XML Path,Image Path,Image Exists,Creation Date,Revision Date,Comment Data
Kolhapur,2012,06,KOP12A61871,20120602,KOP12A61871,विज कामगार,नितीन,20120602,नितीन,-----,विज कामगार,"विज कामगार, विज कामगार",Central_Desk,Pne,,,1F,Usable,1,en,I,false,true,public,sakal,1786,2485,4438210,0,2012-06-02_KOP12A61871_MED_1F_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-02_KOP12A61871_MED_1F_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-02_KOP12A61871_MED_1F_Org.JPG,No,20120601,20120601,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/1/2012 10:29:55 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/1/2012 10:33:17 PM </td><td>Media Edited</td> <td> graviraj </td></tr><tr><td>6/1/2012 10:33:35 PM </td><td>Correct and Move Media to Pages: CDPan1</td> <td> graviraj </td></tr><tr><td>6/1/2012 10:42:45 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:44:09 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:44:09 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:44:17 PM </td><td>Media  marked as Ready and sent to Pages: CDPan1, </td> <td> wprasanna </td></tr><tr><td>6/1/2012 10:54:49 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-1F(Pub Date: 02 Jun 2012)</td> <td> sakal </td></tr>"
Kolhapur,2012,06,KOP12A62559,20120605,KOP12A62559,San_Deo_4_(11).JPG,Ulhas Deolekar,20120605,,,San_Deo_4_(11).JPG,"सांगली- टुडे1, सांगली- टुडे1",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,2126,1417,3012542,1038627,2012-06-05_KOP12A62559_MED_2_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-05_KOP12A62559_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-05_KOP12A62559_MED_2_Org.JPG,Yes,20120604,20120604,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/4/2012 6:57:23 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/4/2012 7:15:54 PM </td><td>Media Edited</td> <td> pprakash </td></tr><tr><td>6/4/2012 7:16:34 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/4/2012 7:34:48 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>6/4/2012 7:35:27 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/4/2012 7:35:28 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>6/4/2012 7:35:45 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/4/2012 7:35:50 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> wprasanna </td></tr><tr><td>6/4/2012 8:39:06 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 05 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,KOP12A60750,20120603,KOP12A60750,जावे पुस्तकांच्या गावा,,20120603,,,जावे पुस्तकांच्या गावा,"ऍग्रोवनसाठी, ऍग्रोवनसाठी",Agro,Pne,,,13,Usable,1,en,I,false,true,public,sakal,960,1295,1243200,2522269,2012-06-03_KOP12A60750_MED_13_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-03_KOP12A60750_MED_13_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-03_KOP12A60750_MED_13_Org.jpg,Yes,20120528,20120528,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>5/28/2012 11:24:17 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>5/29/2012 10:39:51 AM </td><td>Media Edited</td> <td> kjayprakash </td></tr><tr><td>5/29/2012 10:40:16 AM </td><td>Correct and Move Media to Pages: Agro13</td> <td> kjayprakash </td></tr><tr><td>5/29/2012 10:45:35 AM </td><td>Media detached</td> <td> ybhaskar </td></tr><tr><td>5/29/2012 10:51:55 AM </td><td>Media processed</td> <td> ybhaskar </td></tr><tr><td>5/29/2012 10:51:55 AM </td><td>Media Edited</td> <td> ybhaskar </td></tr><tr><td>5/29/2012 10:51:57 AM </td><td>Media  marked as Ready and sent to Pages: Agro13, </td> <td> ybhaskar </td></tr><tr><td>6/2/2012 12:34:36 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-13(Pub Date: 03 Jun 2012)</td> <td> swanand.bhalerao </td></tr>"
Kolhapur,2012,06,KOP12A62645,20120605,KOP12A62645,वटपौर्णिमा,,20120605,,,वटपौर्णिमा,"सांगली ः पान, सांगली ः पान",Central_Desk,Pne,,,2F,Usable,1,en,I,false,true,public,sakal,2041,1410,2877810,385553,2012-06-05_KOP12A62645_MED_2F_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-05_KOP12A62645_MED_2F_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-05_KOP12A62645_MED_2F_Org.JPG,Yes,20120604,20120604,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/4/2012 7:13:57 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/4/2012 7:16:33 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/4/2012 7:24:07 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>6/4/2012 7:26:21 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/4/2012 7:26:22 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>6/4/2012 7:26:25 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> wprasanna </td></tr><tr><td>6/4/2012 11:17:06 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2F(Pub Date: 05 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,KOP12A62355,20120604,KOP12A62355,पुतळा अनावरण,बी.डी.चेचर,20120604,बी.डी.चेचर,सर्व,पुतळा अनावरण,"पुतळा, पुतळा",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,3189,4579,14602431,9220370,2012-06-04_KOP12A62355_MED_2_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-04_KOP12A62355_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-04_KOP12A62355_MED_2_Org.JPG,Yes,20120603,20120603,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/3/2012 8:07:02 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/3/2012 8:08:20 PM </td><td>Media moved to user nyogesh</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:08:42 PM </td><td>Media Edited</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:09:14 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> nyogesh </td></tr><tr><td>6/3/2012 8:10:38 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:24 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:26 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:15:40 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> nsanjay </td></tr><tr><td>6/3/2012 8:32:14 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 04 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,KOP12A62657,20120605,KOP12A62657,swt49.jpg,,20120605,,,swt49.jpg,"बातमी, बातमी",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,1417,770,1091090,1755302,2012-06-05_KOP12A62657_MED_2_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-05_KOP12A62657_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-05_KOP12A62657_MED_2_Org.jpg,Yes,20120604,20120604,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/4/2012 8:10:50 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/4/2012 8:18:07 PM </td><td>Media moved to user pprakash</td> <td> huday </td></tr><tr><td>6/4/2012 8:18:31 PM </td><td>Media Edited</td> <td> pprakash </td></tr><tr><td>6/4/2012 8:18:52 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/4/2012 8:19:29 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:20:33 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:20:33 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:20:36 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> nsanjay </td></tr><tr><td>6/4/2012 8:31:36 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 05 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,KOP12A62659,20120605,KOP12A62659,swt410.jpg,,20120605,,,swt410.jpg,"बातमी, बातमी",Central_Desk,Pne,,,2F,Usable,1,en,I,false,true,public,sakal,1417,696,986232,1513423,2012-06-05_KOP12A62659_MED_2F_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-05_KOP12A62659_MED_2F_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-05_KOP12A62659_MED_2F_Org.jpg,Yes,20120604,20120604,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/4/2012 8:10:59 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/4/2012 9:06:06 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/4/2012 9:09:10 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>6/4/2012 9:12:37 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>6/4/2012 9:12:38 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>6/4/2012 9:12:42 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> nsanjay </td></tr><tr><td>6/4/2012 11:24:06 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2F(Pub Date: 05 Jun 2012)</td> <td> artistcdesk </td></tr><tr><td>05/06/2012 01:14:08 PM</td><td>Image Downloaded</td><td>ksuresh</td></tr>"
Kolhapur,2012,06,KOP12A63829,20120610,KOP12A63829,महालक्ष्मी खजीना,नितीन,20120610,नितीन,,महालक्ष्मी खजीना,"महालक्ष्मी खजीना, महालक्ष्मी खजीना",Central_Desk,Pne,,,2F,Usable,1,en,I,false,true,public,sakal,2126,1692,3597192,1866840,2012-06-10_KOP12A63829_MED_2F_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-10_KOP12A63829_MED_2F_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-10_KOP12A63829_MED_2F_Org.JPG,Yes,20120608,20120608,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/8/2012 10:32:20 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/9/2012 4:49:14 PM </td><td>Media moved to user pprakash</td> <td> pprakash </td></tr><tr><td>6/9/2012 8:19:01 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/9/2012 8:19:38 PM </td><td>Media detached</td> <td> mbalu </td></tr><tr><td>6/9/2012 8:20:21 PM </td><td>Media processed</td> <td> mbalu </td></tr><tr><td>6/9/2012 8:20:22 PM </td><td>Media Edited</td> <td> mbalu </td></tr><tr><td>6/9/2012 8:20:36 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> mbalu </td></tr><tr><td>6/9/2012 10:14:36 PM </td><td>Media pasted on Pune-Sakal-Satara-A-7(Pub Date: 10 Jun 2012)</td> <td> Amar.Nitve </td></tr><tr><td>6/9/2012 11:13:36 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2F(Pub Date: 10 Jun 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,06,KOP12A63129,20120607,KOP12A63129,DSC_5950_jpg.jpg,क,20120607,क,क,DSC_5950_jpg.jpg,"क, क",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,1658,1101,1825458,162645,2012-06-07_KOP12A63129_MED_2_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-07_KOP12A63129_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-07_KOP12A63129_MED_2_Org.jpg,Yes,20120606,20120606,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/6/2012 6:06:48 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/6/2012 8:34:33 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>6/6/2012 8:37:19 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>6/6/2012 8:39:48 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>6/6/2012 8:39:48 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>6/6/2012 8:39:52 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> wprasanna </td></tr><tr><td>6/6/2012 8:42:36 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 07 Jun 2012)</td> <td> sakal </td></tr>"
Kolhapur,2012,06,KOP12A63771,20120609,KOP12A63771,rat8p7.jpg/6:24:47 PM,पाणीयोजना,20120609,पाणीयोजना,"COPYRIGHT, 2006",rat8p7.jpg/6:24:47 PM,"कलर, कलर",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,1500,960,1440000,294289,2012-06-09_KOP12A63771_MED_2_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/processed/2012-06-09_KOP12A63771_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_images/Kolhapur/2012/06/media/2012-06-09_KOP12A63771_MED_2_Org.jpg,Yes,20120608,20120608,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>6/8/2012 6:44:22 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>6/8/2012 6:48:35 PM </td><td>Media moved to user nyogesh</td> <td> nyogesh </td></tr><tr><td>6/8/2012 6:51:11 PM </td><td>Media Edited</td> <td> nyogesh </td></tr><tr><td>6/8/2012 6:51:46 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> nyogesh </td></tr><tr><td>6/8/2012 6:52:58 PM </td><td>Media detached</td> <td> mbalu </td></tr><tr><td>6/8/2012 6:53:20 PM </td><td>Media processed</td> <td> mbalu </td></tr><tr><td>6/8/2012 6:53:20 PM </td><td>Media Edited</td> <td> mbalu </td></tr><tr><td>6/8/2012 6:53:26 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> mbalu </td></tr><tr><td>6/8/2012 8:12:36 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(Pub Date: 09 Jun 2012)</td> <td> artistcdesk </td></tr>"
